block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,56,0x0001,1,0,1,SUCCESS
1,56,0x0001,1,1,1,SUCCESS
2,50,0x0001,1,2,1,SUCCESS
3,55,0x0001,1,3,1,SUCCESS
4,48,0x0001,1,4,1,SUCCESS
5,55,0x0001,1,5,1,SUCCESS
6,53,0x0001,1,6,1,SUCCESS
7,51,0x0001,1,7,1,SUCCESS
8,54,0x0001,1,8,1,SUCCESS
9,51,0x0001,1,9,1,SUCCESS
10,54,0x0001,1,10,1,SUCCESS
11,55,0x0001,1,11,1,SUCCESS
12,54,0x0001,1,12,1,SUCCESS
13,51,0x0001,1,13,1,SUCCESS
14,51,0x0001,1,14,1,SUCCESS
15,51,0x0001,1,15,1,SUCCESS
16,50,0x0001,1,16,1,SUCCESS
17,53,0x0001,1,17,1,SUCCESS
18,54,0x0001,1,18,1,SUCCESS
19,55,0x0001,1,19,1,SUCCESS
20,52,0x0001,1,20,1,SUCCESS
21,55,0x0001,1,21,1,SUCCESS
22,51,0x0001,1,22,1,SUCCESS
23,54,0x0001,1,23,1,SUCCESS
24,53,0x0001,1,24,1,SUCCESS
25,52,0x0001,1,25,1,SUCCESS
26,53,0x0001,1,26,1,SUCCESS
27,57,0x0001,1,27,1,SUCCESS
28,56,0x0001,1,28,1,SUCCESS
29,54,0x0001,1,29,1,SUCCESS
30,55,0x0001,1,30,1,SUCCESS
31,54,0x0001,1,31,1,SUCCESS
32,50,0x0001,1,32,1,SUCCESS
33,53,0x0001,1,33,1,SUCCESS
34,53,0x0001,1,34,1,SUCCESS
35,54,0x0001,1,35,1,SUCCESS
36,54,0x0001,1,36,1,SUCCESS
37,54,0x0001,1,37,1,SUCCESS
38,52,0x0001,1,38,1,SUCCESS
39,53,0x0001,1,39,1,SUCCESS
40,51,0x0001,1,40,1,SUCCESS
41,54,0x0001,1,41,1,SUCCESS
42,51,0x0001,1,42,1,SUCCESS
43,54,0x0001,1,43,1,SUCCESS
44,55,0x0001,1,44,1,SUCCESS
45,54,0x0001,1,45,1,SUCCESS
46,52,0x0001,1,46,1,SUCCESS
47,55,0x0001,1,47,1,SUCCESS
48,51,0x0001,1,48,1,SUCCESS
49,54,0x0001,1,49,1,SUCCESS
50,56,0x0001,1,50,1,SUCCESS
51,53,0x0001,1,51,1,SUCCESS
52,53,0x0001,1,52,1,SUCCESS
53,51,0x0001,1,53,1,SUCCESS
54,55,0x0001,1,54,1,SUCCESS
55,51,0x0001,1,55,1,SUCCESS
56,53,0x0001,1,56,1,SUCCESS
57,54,0x0001,1,57,1,SUCCESS
58,51,0x0001,1,58,1,SUCCESS
59,51,0x0001,1,59,1,SUCCESS
60,55,0x0001,1,60,1,SUCCESS
61,55,0x0001,1,61,1,SUCCESS
62,59,0x0001,1,62,1,SUCCESS
63,52,0x0001,1,63,1,SUCCESS
64,56,0x0001,1,64,1,SUCCESS
65,56,0x0001,1,65,1,SUCCESS
66,55,0x0001,1,66,1,SUCCESS
67,58,0x0001,1,67,1,SUCCESS
68,52,0x0001,1,68,1,SUCCESS
69,52,0x0001,1,69,1,SUCCESS
70,57,0x0001,1,70,1,SUCCESS
71,56,0x0001,1,71,1,SUCCESS
72,55,0x0001,1,72,1,SUCCESS
73,57,0x0001,1,73,1,SUCCESS
74,57,0x0001,1,74,1,SUCCESS
75,57,0x0001,1,75,1,SUCCESS
76,57,0x0001,1,76,1,SUCCESS
77,55,0x0001,1,77,1,SUCCESS
78,49,0x0001,1,78,1,SUCCESS
79,49,0x0001,1,79,1,SUCCESS
80,55,0x0001,1,80,1,SUCCESS
81,55,0x0001,1,81,1,SUCCESS
82,55,0x0001,1,82,1,SUCCESS
83,58,0x0001,1,83,1,SUCCESS
84,53,0x0001,1,84,1,SUCCESS
85,57,0x0001,1,85,1,SUCCESS
86,58,0x0001,1,86,1,SUCCESS
87,58,0x0001,1,87,1,SUCCESS
88,52,0x0001,1,88,1,SUCCESS
89,59,0x0001,1,89,1,SUCCESS
90,58,0x0001,1,90,1,SUCCESS
91,56,0x0001,1,91,1,SUCCESS
92,57,0x0001,1,92,1,SUCCESS
93,51,0x0001,1,93,1,SUCCESS
94,54,0x0001,1,94,1,SUCCESS
95,52,0x0001,1,95,1,SUCCESS
96,56,0x0001,1,96,1,SUCCESS
97,59,0x0001,1,97,1,SUCCESS
98,58,0x0001,1,98,1,SUCCESS
99,52,0x0001,1,99,1,SUCCESS
100,51,0x0001,1,100,1,SUCCESS
101,52,0x0001,1,101,1,SUCCESS
102,57,0x0001,1,102,1,SUCCESS
103,57,0x0001,1,103,1,SUCCESS
104,55,0x0001,1,104,1,SUCCESS
105,52,0x0001,1,105,1,SUCCESS
106,56,0x0001,1,106,1,SUCCESS
107,48,0x0001,1,107,1,SUCCESS
108,55,0x0001,1,108,1,SUCCESS
109,55,0x0001,1,109,1,SUCCESS
110,51,0x0001,1,110,1,SUCCESS
111,49,0x0001,1,111,1,SUCCESS
